"accession","name","Source","Exposome"
"HMDB0242196","(-)-1-Chloro-2-(2,2,2-trichloro-1-(4-chlorophenyl)ethyl)benzene","Website","human exposome"
"HMDB0242197","(-)-2-Difluoromethylornithine","Website","human exposome"
"HMDB0242198","(-)-3-(4-(2-(Phenoxazin-10-yl)ethoxy)phenyl)-2-ethoxypropanoic acid","Website","human exposome"
"HMDB0242200","(-)-alpha-5,9-Dimethyl-2-(3-furylmethyl)-2'-hydroxy-6,7-benzomorphane","Website","human exposome"
"HMDB0242201","(-)-alpha-Tocopherol","Website","human exposome"
"HMDB0242202","(-)-Armepavine","Website","human exposome"
"HMDB0242204","(-)-Bremazocine","Website","human exposome"
"HMDB0242209","(-)-Cytisine","Website","human exposome"
"HMDB0242210","(-)-Deoxypodophyllotoxin","Website","human exposome"
"HMDB0242211","(-)-Haematoxylin","Website","human exposome"
"HMDB0242212","(-)-Huperzine A (HupA)","Website","human exposome"
"HMDB0242213","(-)-Ibogaine","Website","human exposome"
"HMDB0242214","(-)-Kawain","Website","human exposome"
"HMDB0242215","(-)-Marinopyrrole A","Website","human exposome"
"HMDB0242216","(-)-Menthyl chloroformate","Website","human exposome"
"HMDB0242219","(-)-Parthenolide","Website","human exposome"
"HMDB0242221","(-)-Tylophorine","Website","human exposome"
"HMDB0242223","(-)-Vesamicol","Website","human exposome"
"HMDB0242224","(-)-Xestospongin C","Website","human exposome"
"HMDB0242225","((1R,2R,5R)-2-(2,6-Dimethoxy-4-(2-methyloctan-2-yl)phenyl)-7,7-dimethyl-4-bicyclo(3.1.1)hept-3-enyl) methanol","Website","human exposome"
"HMDB0242226","((2,6-Bis(1-methylethyl)phenoxy)sulfonyl)carbamic acid 2,6-bis(1-methylethyl)phenyl ester","Website","human exposome"
"HMDB0242227","((2R,3S,4S,5R,6S)-6-(2-(3-(Benzofuran-5-yl)propanoyl)-3-hydroxy-5-methylphenoxy)-3,4,5-trihydroxytetrahydro-2H-pyran-2-yl)methyl methyl carbonate","Website","human exposome"
"HMDB0242228","((2R,3S)-3-Amino-2-hydroxy-2-(1H-imidazol-4-ylmethyl)-5-methyl)-5-methylhexanoic Acid","Website","human exposome"
"HMDB0242229","((2R,5R)-2-Benzyl-5-(prop-2-yn-1-yloxy)piperidin-1-yl)(4-(bis(4-fluorophenyl)(hydroxy)methyl)-2H-1,2,3-triazol-2-yl)methanone","Website","human exposome"
"HMDB0242230","((4-(3-(4-Fluoro-alpha-hydroxybenzyl)-4-hydroxyphenoxy)-3,5-dimethylphenyl)amino)oxoacetate","Website","human exposome"
"HMDB0242231","((4-(4-Amidinophenoxy)butanoyl)aspartyl)valine","Website","human exposome"
